Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,group
Reactome_2022,Chromatin Modifying Enzymes R-HSA-3247509,6/238,0.0012521948803441,0.0633649910404474,0,0,5.411225238444607,36.16244642862069,NCOA1;NCOA2;KANSL1;KMT2C;JAK2;PHF21A,0
Reactome_2022,Free Fatty Acids Regulate Insulin Secretion R-HSA-400451,2/11,0.0013218400851343,0.0633649910404474,0,0,45.10430839002267,298.984305122014,GNAQ;PLCB1,0
Reactome_2022,Signaling By Rho GTPases R-HSA-194315,10/644,0.001432302487959,0.0633649910404474,0,0,3.376445846477392,22.11056107890118,AKAP13;NCOA2;DIAPH2;KANSL1;PRKCB;DOCK8;ARHGAP15;ARHGAP26;DOCK2;PICALM,0
Reactome_2022,Erythropoietin Activates Phosphoinositide-3-kinase (PI3K) R-HSA-9027276,2/12,0.0015810451022911,0.0633649910404474,0,0,40.59183673469388,261.8039188938469,JAK2;PIK3R5,0
Reactome_2022,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",10/660,0.0017172084292804,0.0633649910404474,0,0,3.2905982905982905,20.95142132874232,AKAP13;NCOA2;DIAPH2;KANSL1;PRKCB;DOCK8;ARHGAP15;ARHGAP26;DOCK2;PICALM,0
Reactome_2022,Hemostasis R-HSA-109582,9/576,0.0023836518798215,0.0765931548851557,0,0,3.372230943659515,20.365312610663477,PRKCB;GNAQ;DOCK8;JMJD1C;JAK2;DOCK2;SLC8A1;PHF21A;PIK3R5,0
Reactome_2022,Synthesis Of Bile Acids And Bile Salts Via 27-Hydroxycholesterol R-HSA-193807,2/15,0.0024908343052083,0.0765931548851557,0,0,31.21978021978022,187.16687708215863,NCOA1;NCOA2,0
Reactome_2022,Signaling By Cytosolic FGFR1 Fusion Mutants R-HSA-1839117,2/17,0.0032052883489498,0.0804088324690028,0,0,27.05442176870748,155.3722787250682,CUX1;GAB2,0
Reactome_2022,RORA Activates Gene Expression R-HSA-1368082,2/18,0.003594237117374,0.0804088324690028,0,0,25.362244897959183,142.7494556250508,NCOA1;NCOA2,0
Reactome_2022,Recycling Of Bile Acids And Salts R-HSA-159418,2/18,0.003594237117374,0.0804088324690028,0,0,25.362244897959183,142.7494556250508,NCOA1;NCOA2,0
